City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
379,bambanglipuro,-7.95,110.2833,76.55,89,100,7.43,ID,1675540554
380,trincomalee,8.5711,81.2335,78.96,77,63,12.46,LK,1675540555
381,kaseda,31.4167,130.3167,45.12,62,100,8.1,JP,1675540555
382,port blair,11.6667,92.75,78.84,89,40,2.3,IN,1675540556
383,skjervoy,70.0311,20.9714,23.0,68,98,12.75,NO,1675540556
384,biltine,14.5333,20.9167,77.67,10,100,7.99,TD,1675540556
385,oneonta,42.4529,-75.0638,13.1,49,92,8.99,US,1675540487
386,uyemskiy,64.4743,40.8524,-4.68,100,100,1.14,RU,1675540557
387,havoysund,70.9963,24.6622,26.83,84,100,9.48,NO,1675540557
388,noyabrsk,63.1994,75.4507,6.69,95,100,10.69,RU,1675540558
389,prince rupert,54.3161,-130.3201,44.69,87,100,36.82,CA,1675540477
390,college,64.8569,-147.8028,10.35,78,75,3.44,US,1675540559
391,praia da vitoria,38.7333,-27.0667,61.75,94,75,11.86,PT,1675540559
392,jiancheng,30.391,104.5491,51.94,73,99,3.78,CN,1675540560
393,margate,51.3813,1.3862,47.3,75,100,1.01,GB,1675540560
394,kununurra,-15.7667,128.7333,75.18,94,75,2.3,AU,1675540561
395,shahreza,32.0339,51.8794,34.18,49,0,4.56,IR,1675540561
396,novobirilyussy,56.9514,90.6661,-0.33,100,100,0.56,RU,1675540561
397,kholodnyy,62.7167,147.95,-31.04,100,100,2.75,RU,1675540562
398,sorong,-0.8833,131.25,77.2,88,100,5.57,ID,1675540564
399,saskatoon,52.1168,-106.6345,22.98,92,75,8.05,CA,1675540566
400,wajid,3.8093,43.2471,78.96,24,15,12.01,SO,1675540567
401,umm kaddadah,13.6017,26.6876,65.41,16,38,12.44,SD,1675540568
402,williams lake,52.1415,-122.1445,38.77,69,40,12.66,CA,1675540569
403,calbuco,-41.768,-73.1273,78.01,80,3,8.23,CL,1675540570
404,rovaniemi,66.5,25.7167,8.01,92,20,6.91,FI,1675540570
405,rio gallegos,-51.6226,-69.2181,62.65,63,75,13.8,AR,1675540571
406,pontes e lacerda,-15.2261,-59.3353,82.31,79,98,0.74,BR,1675540571
407,shizunai,42.3339,142.3669,21.43,74,14,7.31,JP,1675540572
408,havre-saint-pierre,50.2334,-63.5986,6.8,60,100,23.02,CA,1675540572
409,levokumskoye,44.8219,44.6606,32.56,69,99,7.09,RU,1675540573
410,bontang,0.1333,117.5,77.13,88,100,5.23,ID,1675540573
411,urumqi,43.801,87.6005,16.75,79,100,2.24,CN,1675540574
412,sabang,5.8933,95.3214,79.66,77,93,6.6,ID,1675540574
413,baltasi,56.3462,50.2062,7.23,99,98,1.95,RU,1675540575
414,lahaina,20.8783,-156.6825,76.24,97,100,10.45,US,1675540575
415,tezu,27.9167,96.1667,60.82,28,20,4.29,IN,1675540576
416,zamboanguita,9.1025,123.1996,77.68,87,95,16.51,PH,1675540577
417,tricase,39.9304,18.3553,45.75,50,33,29.1,IT,1675540577
418,chilliwack,49.1747,-121.9443,47.01,92,100,8.05,CA,1675540578
419,khani,41.9563,42.9566,33.37,55,100,5.86,GE,1675540578
